Billable Transaction,Billable ~Project~,Forecast Hours,Total Forecasted Hours,~Worker~ for Billable Transactions,Billable Hours,Hours To Bill,Billable Rate,Rate To Bill,Billable Amount,Amount To Bill,~Project Plan Task~ is Billable,~Worker~ Fully Burdened Cost Rate,Estimated Budget,Customer Contract Line,Extended Amount
2.4 Hours on 08/23/2023,PredictaPlan,4.8,512,Peter Sam,2.4,2.4,100.00,50.00,240.00,120.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.8 Hours on 08/24/2023,PredictaPlan,4.8,512,Peter Sam,3.8,3.8,100.00,50.00,380.00,190.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.2 Hours on 08/25/2023,PredictaPlan,4.8,512,Peter Sam,3.2,3.2,100.00,50.00,320.00,160.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.5 Hours on 09/04/2023,PredictaPlan,5.6,512,Peter Sam,4.5,4.5,100.00,50.00,450.00,225.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4 Hours on 09/05/2023,PredictaPlan,5.6,512,Peter Sam,4,4,100.00,50.00,400.00,200.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.2 Hours on 09/06/2023,PredictaPlan,5.6,512,Peter Sam,5.2,5.2,100.00,50.00,520.00,260.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.8 Hours on 09/07/2023,PredictaPlan,5.6,512,Peter Sam,4.8,4.8,100.00,50.00,480.00,240.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6.1 Hours on 09/08/2023,PredictaPlan,5.6,512,Peter Sam,6.1,6.1,100.00,50.00,610.00,305.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.3 Hours on 09/18/2023,PredictaPlan,4.4,512,Peter Sam,4.3,4.3,100.00,50.00,430.00,215.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6 Hours on 09/19/2023,PredictaPlan,4.4,512,Peter Sam,6,6,100.00,50.00,600.00,300.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
7 Hours on 09/20/2023,PredictaPlan,4.4,512,Peter Sam,7,7,100.00,50.00,700.00,350.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6 Hours on 09/21/2023,PredictaPlan,4.4,512,Peter Sam,6,6,100.00,50.00,600.00,300.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6 Hours on 09/22/2023,PredictaPlan,4.4,512,Peter Sam,6,6,100.00,50.00,600.00,300.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
7.3 Hours on 09/24/2023,PredictaPlan,0,512,Peter Sam,7.3,7.3,100.00,50.00,730.00,365.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
7 Hours on 09/25/2023,PredictaPlan,3.6,512,Peter Sam,7,7,100.00,50.00,700.00,350.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.5 Hours on 09/26/2023,PredictaPlan,3.6,512,Peter Sam,5.5,5.5,100.00,50.00,550.00,275.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
8 Hours on 09/27/2023,PredictaPlan,3.6,512,Peter Sam,8,8,100.00,50.00,800.00,400.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6.6 Hours on 09/28/2023,PredictaPlan,3.6,512,Peter Sam,6.6,6.6,100.00,50.00,660.00,330.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 07/31/2023,PredictaPlan,1.6,512,Floyd Moon,2,2,150.00,50.00,300.00,100.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.8 Hours on 08/01/2023,PredictaPlan,1.6,512,Floyd Moon,1.8,1.8,150.00,50.00,270.00,90.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.5 Hours on 08/02/2023,PredictaPlan,1.6,512,Floyd Moon,2.5,2.5,150.00,50.00,375.00,125.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.2 Hours on 08/03/2023,PredictaPlan,1.6,512,Floyd Moon,2.2,2.2,150.00,50.00,330.00,110.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 08/04/2023,PredictaPlan,1.6,512,Floyd Moon,2,2,150.00,50.00,300.00,100.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.2 Hours on 08/07/2023,PredictaPlan,2,512,Floyd Moon,2.2,2.2,150.00,50.00,330.00,110.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 08/08/2023,PredictaPlan,2,512,Floyd Moon,2,2,150.00,50.00,300.00,100.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.6 Hours on 08/09/2023,PredictaPlan,2,512,Floyd Moon,2.6,2.6,150.00,50.00,390.00,130.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.4 Hours on 08/10/2023,PredictaPlan,2,512,Floyd Moon,2.4,2.4,150.00,50.00,360.00,120.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.2 Hours on 08/11/2023,PredictaPlan,2,512,Floyd Moon,2.2,2.2,150.00,50.00,330.00,110.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.4 Hours on 08/14/2023,PredictaPlan,2.4,512,Floyd Moon,2.4,2.4,150.00,50.00,360.00,120.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 08/15/2023,PredictaPlan,2.4,512,Floyd Moon,2.3,2.3,150.00,50.00,345.00,115.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.6 Hours on 08/16/2023,PredictaPlan,2.4,512,Floyd Moon,2.6,2.6,150.00,50.00,390.00,130.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3 Hours on 08/17/2023,PredictaPlan,2.4,512,Floyd Moon,3,3,150.00,50.00,450.00,150.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 08/18/2023,PredictaPlan,2.4,512,Floyd Moon,2,2,150.00,50.00,300.00,100.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.7 Hours on 08/21/2023,PredictaPlan,2.8,512,Floyd Moon,2.7,2.7,150.00,50.00,405.00,135.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.5 Hours on 08/22/2023,PredictaPlan,2.8,512,Floyd Moon,2.5,2.5,150.00,50.00,375.00,125.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.6 Hours on 08/23/2023,PredictaPlan,2.8,512,Floyd Moon,2.6,2.6,150.00,50.00,390.00,130.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.3 Hours on 08/24/2023,PredictaPlan,2.8,512,Floyd Moon,3.3,3.3,150.00,50.00,495.00,165.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 08/25/2023,PredictaPlan,2.8,512,Floyd Moon,2.3,2.3,150.00,50.00,345.00,115.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.1 Hours on 09/04/2023,PredictaPlan,4,512,Floyd Moon,4.1,4.1,150.00,50.00,615.00,205.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5 Hours on 09/05/2023,PredictaPlan,4,512,Floyd Moon,5,5,150.00,50.00,750.00,250.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
3.7 Hours on 09/06/2023,PredictaPlan,4,512,Floyd Moon,3.7,3.7,150.00,50.00,555.00,185.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4 Hours on 09/07/2023,PredictaPlan,4,512,Floyd Moon,4,4,150.00,50.00,600.00,200.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5 Hours on 09/08/2023,PredictaPlan,4,512,Floyd Moon,5,5,150.00,50.00,750.00,250.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.4 Hours on 09/11/2023,PredictaPlan,4,512,Floyd Moon,4.4,4.4,150.00,50.00,660.00,220.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.3 Hours on 09/12/2023,PredictaPlan,4,512,Floyd Moon,5.3,5.3,150.00,50.00,795.00,265.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.1 Hours on 09/13/2023,PredictaPlan,4,512,Floyd Moon,4.1,4.1,150.00,50.00,615.00,205.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.5 Hours on 09/14/2023,PredictaPlan,4,512,Floyd Moon,4.5,4.5,150.00,50.00,675.00,225.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.5 Hours on 09/15/2023,PredictaPlan,4,512,Floyd Moon,5.5,5.5,150.00,50.00,825.00,275.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.7 Hours on 09/18/2023,PredictaPlan,3.6,512,Floyd Moon,4.7,4.7,150.00,50.00,705.00,235.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.6 Hours on 09/19/2023,PredictaPlan,3.6,512,Floyd Moon,5.6,5.6,150.00,50.00,840.00,280.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.6 Hours on 09/20/2023,PredictaPlan,3.6,512,Floyd Moon,4.6,4.6,150.00,50.00,690.00,230.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.8 Hours on 09/21/2023,PredictaPlan,3.6,512,Floyd Moon,4.8,4.8,150.00,50.00,720.00,240.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.8 Hours on 09/22/2023,PredictaPlan,3.6,512,Floyd Moon,5.8,5.8,150.00,50.00,870.00,290.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5 Hours on 09/24/2023,PredictaPlan,0,512,Floyd Moon,5,5,150.00,50.00,750.00,250.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6 Hours on 09/25/2023,PredictaPlan,3,512,Floyd Moon,6,6,150.00,50.00,900.00,300.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5 Hours on 09/26/2023,PredictaPlan,3,512,Floyd Moon,5,5,150.00,50.00,750.00,250.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
4.9 Hours on 09/27/2023,PredictaPlan,3,512,Floyd Moon,4.9,4.9,150.00,50.00,735.00,245.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.9 Hours on 09/28/2023,PredictaPlan,3,512,Floyd Moon,5.9,5.9,150.00,50.00,885.00,295.00,Yes,60,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.5 Hours on 07/31/2023,PredictaPlan,1,512,Carol Li,0.5,0.5,300.00,50.00,150.00,25.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.6 Hours on 08/01/2023,PredictaPlan,1,512,Carol Li,0.6,0.6,300.00,50.00,180.00,30.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1 Hours on 08/02/2023,PredictaPlan,1,512,Carol Li,1,1,300.00,50.00,300.00,50.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.7 Hours on 08/03/2023,PredictaPlan,1,512,Carol Li,0.7,0.7,300.00,50.00,210.00,35.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.9 Hours on 08/04/2023,PredictaPlan,1,512,Carol Li,0.9,0.9,300.00,50.00,270.00,45.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.6 Hours on 08/07/2023,PredictaPlan,1.2,512,Carol Li,0.6,0.6,300.00,50.00,180.00,30.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.8 Hours on 08/08/2023,PredictaPlan,1.2,512,Carol Li,0.8,0.8,300.00,50.00,240.00,40.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.1 Hours on 08/09/2023,PredictaPlan,1.2,512,Carol Li,1.1,1.1,300.00,50.00,330.00,55.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.8 Hours on 08/10/2023,PredictaPlan,1.2,512,Carol Li,0.8,0.8,300.00,50.00,240.00,40.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1 Hours on 08/11/2023,PredictaPlan,1.2,512,Carol Li,1,1,300.00,50.00,300.00,50.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.7 Hours on 08/14/2023,PredictaPlan,1.4,512,Carol Li,0.7,0.7,300.00,50.00,210.00,35.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.9 Hours on 08/15/2023,PredictaPlan,1.4,512,Carol Li,0.9,0.9,300.00,50.00,270.00,45.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.2 Hours on 08/16/2023,PredictaPlan,1.4,512,Carol Li,1.2,1.2,300.00,50.00,360.00,60.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.9 Hours on 08/17/2023,PredictaPlan,1.4,512,Carol Li,0.9,0.9,300.00,50.00,270.00,45.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.3 Hours on 08/18/2023,PredictaPlan,1.4,512,Carol Li,1.3,1.3,300.00,50.00,390.00,65.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
0.9 Hours on 08/21/2023,PredictaPlan,1.6,512,Carol Li,0.9,0.9,300.00,50.00,270.00,45.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1 Hours on 08/22/2023,PredictaPlan,1.6,512,Carol Li,1,1,300.00,50.00,300.00,50.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.5 Hours on 08/23/2023,PredictaPlan,1.6,512,Carol Li,1.5,1.5,300.00,50.00,450.00,75.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.1 Hours on 08/24/2023,PredictaPlan,1.6,512,Carol Li,1.1,1.1,300.00,50.00,330.00,55.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.6 Hours on 08/25/2023,PredictaPlan,1.6,512,Carol Li,1.6,1.6,300.00,50.00,480.00,80.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.8 Hours on 09/04/2023,PredictaPlan,1.8,512,Carol Li,1.8,1.8,300.00,50.00,540.00,90.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.5 Hours on 09/05/2023,PredictaPlan,1.8,512,Carol Li,1.5,1.5,300.00,50.00,450.00,75.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 09/06/2023,PredictaPlan,1.8,512,Carol Li,2,2,300.00,50.00,600.00,100.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 09/07/2023,PredictaPlan,1.8,512,Carol Li,2.3,2.3,300.00,50.00,690.00,115.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.8 Hours on 09/08/2023,PredictaPlan,1.8,512,Carol Li,1.8,1.8,300.00,50.00,540.00,90.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 09/11/2023,PredictaPlan,2,512,Carol Li,2,2,300.00,50.00,600.00,100.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.8 Hours on 09/12/2023,PredictaPlan,2,512,Carol Li,1.8,1.8,300.00,50.00,540.00,90.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2 Hours on 09/13/2023,PredictaPlan,2,512,Carol Li,2,2,300.00,50.00,600.00,100.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.2 Hours on 09/14/2023,PredictaPlan,2,512,Carol Li,2.2,2.2,300.00,50.00,660.00,110.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 09/15/2023,PredictaPlan,2,512,Carol Li,2.3,2.3,300.00,50.00,690.00,115.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 09/18/2023,PredictaPlan,2.2,512,Carol Li,2.3,2.3,300.00,50.00,690.00,115.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.8 Hours on 09/19/2023,PredictaPlan,2.2,512,Carol Li,1.8,1.8,300.00,50.00,540.00,90.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.1 Hours on 09/20/2023,PredictaPlan,2.2,512,Carol Li,2.1,2.1,300.00,50.00,630.00,105.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.5 Hours on 09/21/2023,PredictaPlan,2.2,512,Carol Li,2.5,2.5,300.00,50.00,750.00,125.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 09/22/2023,PredictaPlan,2.2,512,Carol Li,2.3,2.3,300.00,50.00,690.00,115.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.8 Hours on 09/24/2023,PredictaPlan,0,512,Carol Li,1.8,1.8,300.00,50.00,540.00,90.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
1.9 Hours on 09/25/2023,PredictaPlan,2.4,512,Carol Li,1.9,1.9,300.00,50.00,570.00,95.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.4 Hours on 09/26/2023,PredictaPlan,2.4,512,Carol Li,2.4,2.4,300.00,50.00,720.00,120.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.3 Hours on 09/27/2023,PredictaPlan,2.4,512,Carol Li,2.3,2.3,300.00,50.00,690.00,115.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
2.1 Hours on 09/28/2023,PredictaPlan,2.4,512,Carol Li,2.1,2.1,300.00,50.00,630.00,105.00,Yes,250,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5 Hours on 09/11/2023,PredictaPlan,6,512,Peter Sam,5,5,100.00,50.00,500.00,250.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.2 Hours on 09/12/2023,PredictaPlan,6,512,Peter Sam,5.2,5.2,100.00,50.00,520.00,260.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.4 Hours on 09/13/2023,PredictaPlan,6,512,Peter Sam,5.4,5.4,100.00,50.00,540.00,270.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
6 Hours on 09/14/2023,PredictaPlan,6,512,Peter Sam,6,6,100.00,50.00,600.00,300.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
5.6 Hours on 09/15/2023,PredictaPlan,6,512,Peter Sam,5.6,5.6,100.00,50.00,560.00,280.00,Yes,40,"22,500.00",4106 Fines and Penalties (Line 2),"475,000.00"
