Billable Transaction,Billable ~Project~,Forecast Hours,Total Forecasted Hours,~Worker~ for Billable Transactions,Billable Hours,Hours To Bill,Billable Rate,Rate To Bill,Billable Amount,Amount To Bill,~Project Plan Task~ is Billable,~Worker~ Fully Burdened Cost Rate,Estimated Budget,Customer Contract Line,Extended Amount
1 Hours on 07/17/2023,Smart Manage Workday,0,340,Carol Li,1,1.4,0.00,250.00,0.00,350.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/18/2023,Smart Manage Workday,0,340,Carol Li,1,1.5,0.00,250.00,0.00,375.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/19/2023,Smart Manage Workday,0,340,Carol Li,1,1.6,0.00,250.00,0.00,400.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/20/2023,Smart Manage Workday,0,340,Carol Li,1,1,0.00,250.00,0.00,250.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/21/2023,Smart Manage Workday,0,340,Carol Li,1,1.5,0.00,250.00,0.00,375.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/31/2023,Smart Manage Workday,1,340,Carol Li,1,1.6,0.00,250.00,0.00,400.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/01/2023,Smart Manage Workday,1,340,Carol Li,1,1.7,0.00,250.00,0.00,425.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/02/2023,Smart Manage Workday,1,340,Carol Li,1,1.7,0.00,250.00,0.00,425.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/03/2023,Smart Manage Workday,1,340,Carol Li,1,1.4,0.00,250.00,0.00,350.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/04/2023,Smart Manage Workday,1,340,Carol Li,1,1.3,0.00,250.00,0.00,325.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/07/2023,Smart Manage Workday,1,340,Carol Li,1,1.8,0.00,250.00,0.00,450.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/08/2023,Smart Manage Workday,1,340,Carol Li,1,2.1,0.00,250.00,0.00,525.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/09/2023,Smart Manage Workday,1,340,Carol Li,1,2.3,0.00,250.00,0.00,575.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/10/2023,Smart Manage Workday,1,340,Carol Li,1,2.4,0.00,250.00,0.00,600.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/11/2023,Smart Manage Workday,1,340,Carol Li,1,2.3,0.00,250.00,0.00,575.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/14/2023,Smart Manage Workday,2,340,Carol Li,1,2.5,0.00,250.00,0.00,625.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/15/2023,Smart Manage Workday,2,340,Carol Li,1,2.7,0.00,250.00,0.00,675.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/16/2023,Smart Manage Workday,2,340,Carol Li,1,2.7,0.00,250.00,0.00,675.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/17/2023,Smart Manage Workday,2,340,Carol Li,1,3.1,0.00,250.00,0.00,775.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/18/2023,Smart Manage Workday,2,340,Carol Li,1,2.3,0.00,250.00,0.00,575.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/21/2023,Smart Manage Workday,2,340,Carol Li,1,2.4,0.00,250.00,0.00,600.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/22/2023,Smart Manage Workday,2,340,Carol Li,1,3.1,0.00,50.00,0.00,155.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/23/2023,Smart Manage Workday,2,340,Carol Li,1,3.2,0.00,250.00,0.00,800.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/24/2023,Smart Manage Workday,2,340,Carol Li,1,3.3,0.00,250.00,0.00,825.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/25/2023,Smart Manage Workday,2,340,Carol Li,1,3.5,0.00,250.00,0.00,875.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/24/2023,Smart Manage Workday,0.8,340,Carol Li,1,1.3,0.00,250.00,0.00,325.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/25/2023,Smart Manage Workday,0.8,340,Carol Li,1,1.4,0.00,250.00,0.00,350.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/26/2023,Smart Manage Workday,0.8,340,Carol Li,1,2.3,0.00,250.00,0.00,575.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/27/2023,Smart Manage Workday,0.8,340,Carol Li,1,2.3,0.00,250.00,0.00,575.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/28/2023,Smart Manage Workday,0.8,340,Carol Li,1,1.3,0.00,250.00,0.00,325.00,Yes,250,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1.1 Hours on 07/03/2023,Smart Manage Workday,0,340,Peter Sam,1.1,4.2,0.00,50.00,0.00,210.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/04/2023,Smart Manage Workday,0,340,Peter Sam,1,3.3,0.00,50.00,0.00,165.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/05/2023,Smart Manage Workday,0,340,Peter Sam,1,1,0.00,50.00,0.00,50.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/06/2023,Smart Manage Workday,0,340,Peter Sam,1,1.3,0.00,50.00,0.00,65.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/07/2023,Smart Manage Workday,0,340,Peter Sam,1,1.1,0.00,50.00,0.00,55.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/10/2023,Smart Manage Workday,0,340,Peter Sam,1,1,0.00,50.00,0.00,50.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/11/2023,Smart Manage Workday,0,340,Peter Sam,1,4.4,0.00,50.00,0.00,220.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/12/2023,Smart Manage Workday,0,340,Peter Sam,1,5.5,0.00,50.00,0.00,275.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/13/2023,Smart Manage Workday,0,340,Peter Sam,1,6.6,0.00,50.00,0.00,330.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/14/2023,Smart Manage Workday,0,340,Peter Sam,1,4.5,0.00,50.00,0.00,225.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/17/2023,Smart Manage Workday,0,340,Peter Sam,1,3.1,0.00,50.00,0.00,155.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/18/2023,Smart Manage Workday,0,340,Peter Sam,1,5.5,0.00,50.00,0.00,275.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/19/2023,Smart Manage Workday,0,340,Peter Sam,1,4.3,0.00,50.00,0.00,215.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/20/2023,Smart Manage Workday,0,340,Peter Sam,1,4.3,0.00,50.00,0.00,215.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/21/2023,Smart Manage Workday,0,340,Peter Sam,1,2.3,0.00,50.00,0.00,115.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/31/2023,Smart Manage Workday,1.8,340,Peter Sam,1,3.3,0.00,50.00,0.00,165.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/01/2023,Smart Manage Workday,1.8,340,Peter Sam,1,6.6,0.00,50.00,0.00,330.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/02/2023,Smart Manage Workday,1.8,340,Peter Sam,1,7.1,0.00,50.00,0.00,355.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/03/2023,Smart Manage Workday,1.8,340,Peter Sam,1,6.6,0.00,50.00,0.00,330.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/04/2023,Smart Manage Workday,1.8,340,Peter Sam,1,7.7,0.00,50.00,0.00,385.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/07/2023,Smart Manage Workday,2,340,Peter Sam,1,8,0.00,50.00,0.00,400.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/08/2023,Smart Manage Workday,2,340,Peter Sam,1,3.4,0.00,50.00,0.00,170.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/09/2023,Smart Manage Workday,2,340,Peter Sam,1,6.5,0.00,50.00,0.00,325.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/10/2023,Smart Manage Workday,2,340,Peter Sam,1,4.5,0.00,50.00,0.00,225.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/11/2023,Smart Manage Workday,2,340,Peter Sam,1,7.7,0.00,50.00,0.00,385.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/14/2023,Smart Manage Workday,4,340,Peter Sam,1,6.5,0.00,50.00,0.00,325.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/15/2023,Smart Manage Workday,4,340,Peter Sam,1,7.7,0.00,50.00,0.00,385.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/16/2023,Smart Manage Workday,4,340,Peter Sam,1,7.8,0.00,50.00,0.00,390.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/17/2023,Smart Manage Workday,4,340,Peter Sam,1,6.6,0.00,50.00,0.00,330.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/18/2023,Smart Manage Workday,4,340,Peter Sam,1,5,0.00,50.00,0.00,250.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/21/2023,Smart Manage Workday,4.4,340,Peter Sam,1,6,0.00,50.00,0.00,300.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/22/2023,Smart Manage Workday,4.4,340,Peter Sam,1,7,0.00,50.00,0.00,350.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/23/2023,Smart Manage Workday,4.4,340,Peter Sam,1,8,0.00,50.00,0.00,400.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/24/2023,Smart Manage Workday,4.4,340,Peter Sam,1,7,0.00,50.00,0.00,350.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/25/2023,Smart Manage Workday,4.4,340,Peter Sam,1,6.7,0.00,50.00,0.00,335.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/24/2023,Smart Manage Workday,1.4,340,Peter Sam,1,4.4,0.00,50.00,0.00,220.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/25/2023,Smart Manage Workday,1.4,340,Peter Sam,1,4.4,0.00,50.00,0.00,220.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/26/2023,Smart Manage Workday,1.4,340,Peter Sam,1,3,0.00,50.00,0.00,150.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/27/2023,Smart Manage Workday,1.4,340,Peter Sam,1,5,0.00,50.00,0.00,250.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/28/2023,Smart Manage Workday,1.4,340,Peter Sam,1,4,0.00,50.00,0.00,200.00,Yes,40,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/03/2023,Smart Manage Workday,0,340,Floyd Moon,1,1,0.00,150.00,0.00,150.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/04/2023,Smart Manage Workday,0,340,Floyd Moon,1,2,0.00,150.00,0.00,300.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/05/2023,Smart Manage Workday,0,340,Floyd Moon,1,3,0.00,150.00,0.00,450.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/06/2023,Smart Manage Workday,0,340,Floyd Moon,1,2.2,0.00,150.00,0.00,330.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/07/2023,Smart Manage Workday,0,340,Floyd Moon,1,1.2,0.00,150.00,0.00,180.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/10/2023,Smart Manage Workday,0,340,Floyd Moon,1,1.3,0.00,150.00,0.00,195.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/11/2023,Smart Manage Workday,0,340,Floyd Moon,1,3.1,0.00,150.00,0.00,465.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/12/2023,Smart Manage Workday,0,340,Floyd Moon,1,3.3,0.00,150.00,0.00,495.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/13/2023,Smart Manage Workday,0,340,Floyd Moon,1,2.3,0.00,150.00,0.00,345.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/14/2023,Smart Manage Workday,0,340,Floyd Moon,1,4.3,0.00,150.00,0.00,645.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/17/2023,Smart Manage Workday,0,340,Floyd Moon,1,1,0.00,50.00,0.00,50.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/18/2023,Smart Manage Workday,0,340,Floyd Moon,1,1.2,0.00,150.00,0.00,180.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/19/2023,Smart Manage Workday,0,340,Floyd Moon,1,2.1,0.00,150.00,0.00,315.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/20/2023,Smart Manage Workday,0,340,Floyd Moon,1,1.3,0.00,150.00,0.00,195.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/21/2023,Smart Manage Workday,0,340,Floyd Moon,1,1.7,0.00,150.00,0.00,255.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/31/2023,Smart Manage Workday,1.6,340,Floyd Moon,1,1.3,150.00,150.00,150.00,195.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/01/2023,Smart Manage Workday,1.6,340,Floyd Moon,1,3.3,150.00,150.00,150.00,495.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/02/2023,Smart Manage Workday,1.6,340,Floyd Moon,1,4,150.00,150.00,150.00,600.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/03/2023,Smart Manage Workday,1.6,340,Floyd Moon,1,2,150.00,150.00,150.00,300.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/04/2023,Smart Manage Workday,1.6,340,Floyd Moon,1,1,150.00,150.00,150.00,150.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/07/2023,Smart Manage Workday,1.8,340,Floyd Moon,1,5,150.00,150.00,150.00,750.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/08/2023,Smart Manage Workday,1.8,340,Floyd Moon,1,6,150.00,150.00,150.00,900.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/09/2023,Smart Manage Workday,1.8,340,Floyd Moon,1,4,150.00,150.00,150.00,600.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/10/2023,Smart Manage Workday,1.8,340,Floyd Moon,1,1,150.00,150.00,150.00,150.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/11/2023,Smart Manage Workday,1.8,340,Floyd Moon,1,4.4,150.00,150.00,150.00,660.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/14/2023,Smart Manage Workday,2,340,Floyd Moon,1,5.1,150.00,150.00,150.00,765.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/15/2023,Smart Manage Workday,2,340,Floyd Moon,1,6.1,150.00,150.00,150.00,915.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/16/2023,Smart Manage Workday,2,340,Floyd Moon,1,3.1,150.00,150.00,150.00,465.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/17/2023,Smart Manage Workday,2,340,Floyd Moon,1,5.1,150.00,150.00,150.00,765.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/18/2023,Smart Manage Workday,2,340,Floyd Moon,1,4.3,150.00,150.00,150.00,645.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/21/2023,Smart Manage Workday,2.4,340,Floyd Moon,1,3.2,150.00,150.00,150.00,480.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/22/2023,Smart Manage Workday,2.4,340,Floyd Moon,1,4,150.00,150.00,150.00,600.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/23/2023,Smart Manage Workday,2.4,340,Floyd Moon,1,3.1,150.00,150.00,150.00,465.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/24/2023,Smart Manage Workday,2.4,340,Floyd Moon,1,5.1,150.00,150.00,150.00,765.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 08/25/2023,Smart Manage Workday,2.4,340,Floyd Moon,1,6.1,150.00,150.00,150.00,915.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/24/2023,Smart Manage Workday,1.4,340,Floyd Moon,1,3.1,0.00,150.00,0.00,465.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/25/2023,Smart Manage Workday,1.4,340,Floyd Moon,1,2,0.00,150.00,0.00,300.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/26/2023,Smart Manage Workday,1.4,340,Floyd Moon,1,1,150.00,150.00,150.00,150.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/27/2023,Smart Manage Workday,1.4,340,Floyd Moon,1,1,150.00,150.00,150.00,150.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
1 Hours on 07/28/2023,Smart Manage Workday,1.4,340,Floyd Moon,1,3,150.00,50.00,150.00,150.00,Yes,60,"115,000.00",4106 Deposit Forfeitures (Line 1),"450,000.00"
