Billable_Transaction,Billable__Project_,Forecast_Hours,Total_Forecasted_Hours,Estimated_Budget,XMLNAME__Worker__for_Billable_Transactions,Billable_Hours,Hours_To_Bill,Billable_Rate,Rate_To_Bill,Billable_Amount,Amount_To_Bill,XMLNAME__Project_Plan_Task__is_Billable,XMLNAME__Worker__Fully_Burdened_Cost_Rate,Customer_Contract_Line,Extended_Amount
3.8 Hours on 08/24/2023,PredictaPlan,4.8,512,45000,Peter Sam,3.8,3.8,100,50,380,190,1,40,4106 Fines and Penalties (Line 2),475000
3.2 Hours on 08/25/2023,PredictaPlan,4.8,512,45000,Peter Sam,3.2,3.2,100,50,320,160,1,40,4106 Fines and Penalties (Line 2),475000
4.5 Hours on 09/04/2023,PredictaPlan,5.6,512,45000,Peter Sam,4.5,4.5,100,50,450,225,1,40,4106 Fines and Penalties (Line 2),475000
4 Hours on 09/05/2023,PredictaPlan,5.6,512,45000,Peter Sam,4,4,100,50,400,200,1,40,4106 Fines and Penalties (Line 2),475000
5.2 Hours on 09/06/2023,PredictaPlan,5.6,512,45000,Peter Sam,5.2,5.2,100,50,520,260,1,40,4106 Fines and Penalties (Line 2),475000
4.8 Hours on 09/07/2023,PredictaPlan,5.6,512,45000,Peter Sam,4.8,4.8,100,50,480,240,1,40,4106 Fines and Penalties (Line 2),475000
6.1 Hours on 09/08/2023,PredictaPlan,5.6,512,45000,Peter Sam,6.1,6.1,100,50,610,305,1,40,4106 Fines and Penalties (Line 2),475000
4.3 Hours on 09/18/2023,PredictaPlan,4.4,512,45000,Peter Sam,4.3,4.3,100,50,430,215,1,40,4106 Fines and Penalties (Line 2),475000
6 Hours on 09/19/2023,PredictaPlan,4.4,512,45000,Peter Sam,6,6,100,50,600,300,1,40,4106 Fines and Penalties (Line 2),475000
7 Hours on 09/20/2023,PredictaPlan,4.4,512,45000,Peter Sam,7,7,100,50,700,350,1,40,4106 Fines and Penalties (Line 2),475000
6 Hours on 09/21/2023,PredictaPlan,4.4,512,45000,Peter Sam,6,6,100,50,600,300,1,40,4106 Fines and Penalties (Line 2),475000
6 Hours on 09/22/2023,PredictaPlan,4.4,512,45000,Peter Sam,6,6,100,50,600,300,1,40,4106 Fines and Penalties (Line 2),475000
7.3 Hours on 09/24/2023,PredictaPlan,0,512,45000,Peter Sam,7.3,7.3,100,50,730,365,1,40,4106 Fines and Penalties (Line 2),475000
7 Hours on 09/25/2023,PredictaPlan,3.6,512,45000,Peter Sam,7,7,100,50,700,350,1,40,4106 Fines and Penalties (Line 2),475000
5.5 Hours on 09/26/2023,PredictaPlan,3.6,512,45000,Peter Sam,5.5,5.5,100,50,550,275,1,40,4106 Fines and Penalties (Line 2),475000
8 Hours on 09/27/2023,PredictaPlan,3.6,512,45000,Peter Sam,8,8,100,50,800,400,1,40,4106 Fines and Penalties (Line 2),475000
6.6 Hours on 09/28/2023,PredictaPlan,3.6,512,45000,Peter Sam,6.6,6.6,100,50,660,330,1,40,4106 Fines and Penalties (Line 2),475000
2 Hours on 07/31/2023,PredictaPlan,1.6,512,45000,Floyd Moon,2,2,150,50,300,100,1,60,4106 Fines and Penalties (Line 2),475000
1.8 Hours on 08/01/2023,PredictaPlan,1.6,512,45000,Floyd Moon,1.8,1.8,150,50,270,90,1,60,4106 Fines and Penalties (Line 2),475000
2.5 Hours on 08/02/2023,PredictaPlan,1.6,512,45000,Floyd Moon,2.5,2.5,150,50,375,125,1,60,4106 Fines and Penalties (Line 2),475000
2.2 Hours on 08/03/2023,PredictaPlan,1.6,512,45000,Floyd Moon,2.2,2.2,150,50,330,110,1,60,4106 Fines and Penalties (Line 2),475000
2 Hours on 08/04/2023,PredictaPlan,1.6,512,45000,Floyd Moon,2,2,150,50,300,100,1,60,4106 Fines and Penalties (Line 2),475000
2.2 Hours on 08/07/2023,PredictaPlan,2,512,45000,Floyd Moon,2.2,2.2,150,50,330,110,1,60,4106 Fines and Penalties (Line 2),475000
2 Hours on 08/08/2023,PredictaPlan,2,512,45000,Floyd Moon,2,2,150,50,300,100,1,60,4106 Fines and Penalties (Line 2),475000
2.6 Hours on 08/09/2023,PredictaPlan,2,512,45000,Floyd Moon,2.6,2.6,150,50,390,130,1,60,4106 Fines and Penalties (Line 2),475000
2.4 Hours on 08/10/2023,PredictaPlan,2,512,45000,Floyd Moon,2.4,2.4,150,50,360,120,1,60,4106 Fines and Penalties (Line 2),475000
2.2 Hours on 08/11/2023,PredictaPlan,2,512,45000,Floyd Moon,2.2,2.2,150,50,330,110,1,60,4106 Fines and Penalties (Line 2),475000
2.4 Hours on 08/14/2023,PredictaPlan,2.4,512,45000,Floyd Moon,2.4,2.4,150,50,360,120,1,60,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 08/15/2023,PredictaPlan,2.4,512,45000,Floyd Moon,2.3,2.3,150,50,345,115,1,60,4106 Fines and Penalties (Line 2),475000
2.6 Hours on 08/16/2023,PredictaPlan,2.4,512,45000,Floyd Moon,2.6,2.6,150,50,390,130,1,60,4106 Fines and Penalties (Line 2),475000
3 Hours on 08/17/2023,PredictaPlan,2.4,512,45000,Floyd Moon,3,3,150,50,450,150,1,60,4106 Fines and Penalties (Line 2),475000
2 Hours on 08/18/2023,PredictaPlan,2.4,512,45000,Floyd Moon,2,2,150,50,300,100,1,60,4106 Fines and Penalties (Line 2),475000
2.7 Hours on 08/21/2023,PredictaPlan,2.8,512,45000,Floyd Moon,2.7,2.7,150,50,405,135,1,60,4106 Fines and Penalties (Line 2),475000
2.5 Hours on 08/22/2023,PredictaPlan,2.8,512,45000,Floyd Moon,2.5,2.5,150,50,375,125,1,60,4106 Fines and Penalties (Line 2),475000
2.6 Hours on 08/23/2023,PredictaPlan,2.8,512,45000,Floyd Moon,2.6,2.6,150,50,390,130,1,60,4106 Fines and Penalties (Line 2),475000
3.3 Hours on 08/24/2023,PredictaPlan,2.8,512,45000,Floyd Moon,3.3,3.3,150,50,495,165,1,60,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 08/25/2023,PredictaPlan,2.8,512,45000,Floyd Moon,2.3,2.3,150,50,345,115,1,60,4106 Fines and Penalties (Line 2),475000
4.1 Hours on 09/04/2023,PredictaPlan,4,512,45000,Floyd Moon,4.1,4.1,150,50,615,205,1,60,4106 Fines and Penalties (Line 2),475000
5 Hours on 09/05/2023,PredictaPlan,4,512,45000,Floyd Moon,5,5,150,50,750,250,1,60,4106 Fines and Penalties (Line 2),475000
3.7 Hours on 09/06/2023,PredictaPlan,4,512,45000,Floyd Moon,3.7,3.7,150,50,555,185,1,60,4106 Fines and Penalties (Line 2),475000
4 Hours on 09/07/2023,PredictaPlan,4,512,45000,Floyd Moon,4,4,150,50,600,200,1,60,4106 Fines and Penalties (Line 2),475000
5 Hours on 09/08/2023,PredictaPlan,4,512,45000,Floyd Moon,5,5,150,50,750,250,1,60,4106 Fines and Penalties (Line 2),475000
4.4 Hours on 09/11/2023,PredictaPlan,4,512,45000,Floyd Moon,4.4,4.4,150,50,660,220,1,60,4106 Fines and Penalties (Line 2),475000
5.3 Hours on 09/12/2023,PredictaPlan,4,512,45000,Floyd Moon,5.3,5.3,150,50,795,265,1,60,4106 Fines and Penalties (Line 2),475000
4.1 Hours on 09/13/2023,PredictaPlan,4,512,45000,Floyd Moon,4.1,4.1,150,50,615,205,1,60,4106 Fines and Penalties (Line 2),475000
4.5 Hours on 09/14/2023,PredictaPlan,4,512,45000,Floyd Moon,4.5,4.5,150,50,675,225,1,60,4106 Fines and Penalties (Line 2),475000
5.5 Hours on 09/15/2023,PredictaPlan,4,512,45000,Floyd Moon,5.5,5.5,150,50,825,275,1,60,4106 Fines and Penalties (Line 2),475000
4.7 Hours on 09/18/2023,PredictaPlan,3.6,512,45000,Floyd Moon,4.7,4.7,150,50,705,235,1,60,4106 Fines and Penalties (Line 2),475000
5.6 Hours on 09/19/2023,PredictaPlan,3.6,512,45000,Floyd Moon,5.6,5.6,150,50,840,280,1,60,4106 Fines and Penalties (Line 2),475000
4.6 Hours on 09/20/2023,PredictaPlan,3.6,512,45000,Floyd Moon,4.6,4.6,150,50,690,230,1,60,4106 Fines and Penalties (Line 2),475000
4.8 Hours on 09/21/2023,PredictaPlan,3.6,512,45000,Floyd Moon,4.8,4.8,150,50,720,240,1,60,4106 Fines and Penalties (Line 2),475000
5.8 Hours on 09/22/2023,PredictaPlan,3.6,512,45000,Floyd Moon,5.8,5.8,150,50,870,290,1,60,4106 Fines and Penalties (Line 2),475000
5 Hours on 09/24/2023,PredictaPlan,0,512,45000,Floyd Moon,5,5,150,50,750,250,1,60,4106 Fines and Penalties (Line 2),475000
6 Hours on 09/25/2023,PredictaPlan,3,512,45000,Floyd Moon,6,6,150,50,900,300,1,60,4106 Fines and Penalties (Line 2),475000
5 Hours on 09/26/2023,PredictaPlan,3,512,45000,Floyd Moon,5,5,150,50,750,250,1,60,4106 Fines and Penalties (Line 2),475000
4.9 Hours on 09/27/2023,PredictaPlan,3,512,45000,Floyd Moon,4.9,4.9,150,50,735,245,1,60,4106 Fines and Penalties (Line 2),475000
5.9 Hours on 09/28/2023,PredictaPlan,3,512,45000,Floyd Moon,5.9,5.9,150,50,885,295,1,60,4106 Fines and Penalties (Line 2),475000
0.5 Hours on 07/31/2023,PredictaPlan,1,512,45000,Carol Li,0.5,0.5,300,50,150,25,1,250,4106 Fines and Penalties (Line 2),475000
0.6 Hours on 08/01/2023,PredictaPlan,1,512,45000,Carol Li,0.6,0.6,300,50,180,30,1,250,4106 Fines and Penalties (Line 2),475000
1 Hours on 08/02/2023,PredictaPlan,1,512,45000,Carol Li,1,1,300,50,300,50,1,250,4106 Fines and Penalties (Line 2),475000
0.7 Hours on 08/03/2023,PredictaPlan,1,512,45000,Carol Li,0.7,0.7,300,50,210,35,1,250,4106 Fines and Penalties (Line 2),475000
0.9 Hours on 08/04/2023,PredictaPlan,1,512,45000,Carol Li,0.9,0.9,300,50,270,45,1,250,4106 Fines and Penalties (Line 2),475000
0.6 Hours on 08/07/2023,PredictaPlan,1.2,512,45000,Carol Li,0.6,0.6,300,50,180,30,1,250,4106 Fines and Penalties (Line 2),475000
0.8 Hours on 08/08/2023,PredictaPlan,1.2,512,45000,Carol Li,0.8,0.8,300,50,240,40,1,250,4106 Fines and Penalties (Line 2),475000
1.1 Hours on 08/09/2023,PredictaPlan,1.2,512,45000,Carol Li,1.1,1.1,300,50,330,55,1,250,4106 Fines and Penalties (Line 2),475000
0.8 Hours on 08/10/2023,PredictaPlan,1.2,512,45000,Carol Li,0.8,0.8,300,50,240,40,1,250,4106 Fines and Penalties (Line 2),475000
1 Hours on 08/11/2023,PredictaPlan,1.2,512,45000,Carol Li,1,1,300,50,300,50,1,250,4106 Fines and Penalties (Line 2),475000
0.7 Hours on 08/14/2023,PredictaPlan,1.4,512,45000,Carol Li,0.7,0.7,300,50,210,35,1,250,4106 Fines and Penalties (Line 2),475000
0.9 Hours on 08/15/2023,PredictaPlan,1.4,512,45000,Carol Li,0.9,0.9,300,50,270,45,1,250,4106 Fines and Penalties (Line 2),475000
1.2 Hours on 08/16/2023,PredictaPlan,1.4,512,45000,Carol Li,1.2,1.2,300,50,360,60,1,250,4106 Fines and Penalties (Line 2),475000
0.9 Hours on 08/17/2023,PredictaPlan,1.4,512,45000,Carol Li,0.9,0.9,300,50,270,45,1,250,4106 Fines and Penalties (Line 2),475000
1.3 Hours on 08/18/2023,PredictaPlan,1.4,512,45000,Carol Li,1.3,1.3,300,50,390,65,1,250,4106 Fines and Penalties (Line 2),475000
0.9 Hours on 08/21/2023,PredictaPlan,1.6,512,45000,Carol Li,0.9,0.9,300,50,270,45,1,250,4106 Fines and Penalties (Line 2),475000
1 Hours on 08/22/2023,PredictaPlan,1.6,512,45000,Carol Li,1,1,300,50,300,50,1,250,4106 Fines and Penalties (Line 2),475000
1.5 Hours on 08/23/2023,PredictaPlan,1.6,512,45000,Carol Li,1.5,1.5,300,50,450,75,1,250,4106 Fines and Penalties (Line 2),475000
1.1 Hours on 08/24/2023,PredictaPlan,1.6,512,45000,Carol Li,1.1,1.1,300,50,330,55,1,250,4106 Fines and Penalties (Line 2),475000
1.6 Hours on 08/25/2023,PredictaPlan,1.6,512,45000,Carol Li,1.6,1.6,300,50,480,80,1,250,4106 Fines and Penalties (Line 2),475000
1.8 Hours on 09/04/2023,PredictaPlan,1.8,512,45000,Carol Li,1.8,1.8,300,50,540,90,1,250,4106 Fines and Penalties (Line 2),475000
1.5 Hours on 09/05/2023,PredictaPlan,1.8,512,45000,Carol Li,1.5,1.5,300,50,450,75,1,250,4106 Fines and Penalties (Line 2),475000
2 Hours on 09/06/2023,PredictaPlan,1.8,512,45000,Carol Li,2,2,300,50,600,100,1,250,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 09/07/2023,PredictaPlan,1.8,512,45000,Carol Li,2.3,2.3,300,50,690,115,1,250,4106 Fines and Penalties (Line 2),475000
1.8 Hours on 09/08/2023,PredictaPlan,1.8,512,45000,Carol Li,1.8,1.8,300,50,540,90,1,250,4106 Fines and Penalties (Line 2),475000
2 Hours on 09/11/2023,PredictaPlan,2,512,45000,Carol Li,2,2,300,50,600,100,1,250,4106 Fines and Penalties (Line 2),475000
1.8 Hours on 09/12/2023,PredictaPlan,2,512,45000,Carol Li,1.8,1.8,300,50,540,90,1,250,4106 Fines and Penalties (Line 2),475000
2 Hours on 09/13/2023,PredictaPlan,2,512,45000,Carol Li,2,2,300,50,600,100,1,250,4106 Fines and Penalties (Line 2),475000
2.2 Hours on 09/14/2023,PredictaPlan,2,512,45000,Carol Li,2.2,2.2,300,50,660,110,1,250,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 09/15/2023,PredictaPlan,2,512,45000,Carol Li,2.3,2.3,300,50,690,115,1,250,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 09/18/2023,PredictaPlan,2.2,512,45000,Carol Li,2.3,2.3,300,50,690,115,1,250,4106 Fines and Penalties (Line 2),475000
1.8 Hours on 09/19/2023,PredictaPlan,2.2,512,45000,Carol Li,1.8,1.8,300,50,540,90,1,250,4106 Fines and Penalties (Line 2),475000
2.1 Hours on 09/20/2023,PredictaPlan,2.2,512,45000,Carol Li,2.1,2.1,300,50,630,105,1,250,4106 Fines and Penalties (Line 2),475000
2.5 Hours on 09/21/2023,PredictaPlan,2.2,512,45000,Carol Li,2.5,2.5,300,50,750,125,1,250,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 09/22/2023,PredictaPlan,2.2,512,45000,Carol Li,2.3,2.3,300,50,690,115,1,250,4106 Fines and Penalties (Line 2),475000
1.8 Hours on 09/24/2023,PredictaPlan,0,512,45000,Carol Li,1.8,1.8,300,50,540,90,1,250,4106 Fines and Penalties (Line 2),475000
1.9 Hours on 09/25/2023,PredictaPlan,2.4,512,45000,Carol Li,1.9,1.9,300,50,570,95,1,250,4106 Fines and Penalties (Line 2),475000
2.4 Hours on 09/26/2023,PredictaPlan,2.4,512,45000,Carol Li,2.4,2.4,300,50,720,120,1,250,4106 Fines and Penalties (Line 2),475000
2.3 Hours on 09/27/2023,PredictaPlan,2.4,512,45000,Carol Li,2.3,2.3,300,50,690,115,1,250,4106 Fines and Penalties (Line 2),475000
2.1 Hours on 09/28/2023,PredictaPlan,2.4,512,45000,Carol Li,2.1,2.1,300,50,630,105,1,250,4106 Fines and Penalties (Line 2),475000
5 Hours on 09/11/2023,PredictaPlan,6,512,45000,Peter Sam,5,5,100,50,500,250,1,40,4106 Fines and Penalties (Line 2),475000
5.2 Hours on 09/12/2023,PredictaPlan,6,512,45000,Peter Sam,5.2,5.2,100,50,520,260,1,40,4106 Fines and Penalties (Line 2),475000
5.4 Hours on 09/13/2023,PredictaPlan,6,512,45000,Peter Sam,5.4,5.4,100,50,540,270,1,40,4106 Fines and Penalties (Line 2),475000
6 Hours on 09/14/2023,PredictaPlan,6,512,45000,Peter Sam,6,6,100,50,600,300,1,40,4106 Fines and Penalties (Line 2),475000
5.6 Hours on 09/15/2023,PredictaPlan,6,512,45000,Peter Sam,5.6,5.6,100,50,560,280,1,40,4106 Fines and Penalties (Line 2),475000
